Timestamp_MS,Channel,Frame_Size_Bytes,RSSI_dBm,MAC_Address
3597474,1,340,-71,3C:46:A1:6D:8B:F2
3597474,1,356,-71,3C:46:A1:6D:8B:F3
3597474,1,364,-71,3C:46:A1:6D:8B:F4
3597494,1,340,-75,3C:46:A1:6D:9B:B2
3597494,1,356,-73,3C:46:A1:6D:9B:B3
3597494,1,356,-76,3C:46:A1:70:A0:B3
3597514,1,356,-79,3C:46:A1:6D:96:A3
3597524,1,356,-80,3C:46:A1:6D:93:93
3597574,1,340,-71,3C:46:A1:6D:8B:F2
3597574,1,356,-71,3C:46:A1:6D:8B:F3
3597574,1,364,-71,3C:46:A1:6D:8B:F4
3597594,1,340,-73,3C:46:A1:6D:9B:B2
3597594,1,356,-73,3C:46:A1:6D:9B:B3
3597594,1,356,-75,3C:46:A1:70:A0:B3
3597594,1,364,-75,3C:46:A1:70:A0:B4
3597624,1,356,-80,3C:46:A1:6D:96:A3
3597624,1,356,-80,3C:46:A1:6D:93:93
3597654,1,119,-78,08:65:F0:DA:4D:63
3597674,1,356,-80,3C:46:A1:6D:8B:33
3597674,1,340,-71,3C:46:A1:6D:8B:F2
3597674,1,356,-71,3C:46:A1:6D:8B:F3
3597674,1,364,-72,3C:46:A1:6D:8B:F4
3597694,1,340,-72,3C:46:A1:6D:9B:B2
3597694,1,356,-73,3C:46:A1:6D:9B:B3
3597694,1,356,-77,3C:46:A1:70:A0:B3
3597694,1,364,-77,3C:46:A1:70:A0:B4
3597724,1,356,-81,3C:46:A1:6D:96:A3
3597764,1,119,-77,08:65:F0:DA:4D:63
3597774,1,356,-81,3C:46:A1:6D:8B:33
3597774,1,340,-71,3C:46:A1:6D:8B:F2
3597774,1,356,-71,3C:46:A1:6D:8B:F3
3597774,1,364,-71,3C:46:A1:6D:8B:F4
3597794,1,340,-73,3C:46:A1:6D:9B:B2
3597794,1,356,-73,3C:46:A1:6D:9B:B3
3597834,1,356,-81,3C:46:A1:6D:93:93
3597864,1,119,-76,08:65:F0:DA:4D:63
3597874,1,356,-81,3C:46:A1:6D:8B:33
3597884,1,340,-71,3C:46:A1:6D:8B:F2
3597884,1,356,-71,3C:46:A1:6D:8B:F3
3597884,1,364,-71,3C:46:A1:6D:8B:F4
3597934,1,356,-81,3C:46:A1:6D:93:93
3597934,1,364,-80,3C:46:A1:6D:93:94
3597954,1,363,-73,3C:46:A1:6D:9B:B2
3597954,1,113,-78,08:65:F0:DA:4D:63
3597964,1,113,-78,08:65:F0:DA:4D:63
3597964,1,119,-76,08:65:F0:DA:4D:63
3597964,1,363,-73,3C:46:A1:6D:9B:B2
3597964,1,113,-78,08:65:F0:DA:4D:63
3597964,1,113,-78,08:65:F0:DA:4D:63
3597974,1,113,-78,08:65:F0:DA:4D:63
3597974,1,113,-77,08:65:F0:DA:4D:63
3597974,1,113,-78,08:65:F0:DA:4D:63
3597974,1,366,-77,3C:46:A1:70:A0:B3
3597984,1,113,-79,08:65:F0:DA:4D:63
3597984,1,113,-79,08:65:F0:DA:4D:63
3597984,1,366,-73,3C:46:A1:6D:9B:B3
3597994,1,363,-79,3C:46:A1:6D:93:92
3597994,1,113,-78,08:65:F0:DA:4D:63
3597994,1,340,-71,3C:46:A1:6D:8B:F2
3598004,1,356,-71,3C:46:A1:6D:8B:F3
3598004,1,364,-71,3C:46:A1:6D:8B:F4
3598004,1,366,-80,3C:46:A1:6D:93:93
3598014,1,366,-73,3C:46:A1:6D:9B:B3
3598014,1,374,-78,3C:46:A1:70:A0:B4
3598014,1,366,-73,3C:46:A1:6D:9B:B3
3598024,1,366,-72,3C:46:A1:6D:9B:B3
3598024,1,366,-78,3C:46:A1:6D:93:93
3598024,1,374,-78,3C:46:A1:6D:93:94
3598034,1,340,-73,3C:46:A1:6D:9B:B2
3598034,1,356,-73,3C:46:A1:6D:9B:B3
3598034,1,356,-80,3C:46:A1:6D:96:A3
3598044,1,356,-80,3C:46:A1:6D:93:93
3598084,1,340,-71,3C:46:A1:6D:8B:F2
3598084,1,356,-71,3C:46:A1:6D:8B:F3
3598084,1,364,-71,3C:46:A1:6D:8B:F4
3598104,1,340,-72,3C:46:A1:6D:9B:B2
3598104,1,356,-71,3C:46:A1:6D:9B:B3
3598144,1,166,-85,FF:FF:FF:FF:FF:FF
3598144,1,356,-80,3C:46:A1:6D:93:93
3598144,1,363,-71,3C:46:A1:6D:9B:B2
3598144,1,363,-71,3C:46:A1:6D:9B:B2
3598144,1,363,-71,3C:46:A1:6D:9B:B2
3598164,1,119,-78,08:65:F0:DA:4D:63
3598184,1,356,-78,3C:46:A1:6D:8B:33
3598184,1,340,-71,3C:46:A1:6D:8B:F2
3598184,1,356,-71,3C:46:A1:6D:8B:F3
3598184,1,364,-71,3C:46:A1:6D:8B:F4
3598204,1,340,-72,3C:46:A1:6D:9B:B2
3598204,1,356,-72,3C:46:A1:6D:9B:B3
3598244,1,356,-79,3C:46:A1:6D:93:93
3598244,1,364,-79,3C:46:A1:6D:93:94
3598244,1,356,-80,3C:46:A1:6D:96:A3
3598264,1,119,-78,08:65:F0:DA:4D:63
3598284,1,356,-79,3C:46:A1:6D:8B:33
3598294,1,340,-71,3C:46:A1:6D:8B:F2
3598294,1,356,-71,3C:46:A1:6D:8B:F3
3598294,1,364,-71,3C:46:A1:6D:8B:F4
3598304,1,340,-72,3C:46:A1:6D:9B:B2
3598314,1,364,-73,3C:46:A1:6D:9B:B4
3598314,1,340,-78,3C:46:A1:70:A0:B2
3598314,1,356,-77,3C:46:A1:70:A0:B3
3598334,1,356,-78,3C:46:A1:6D:96:A3
3598344,1,356,-79,3C:46:A1:6D:93:93
3598384,1,356,-80,3C:46:A1:6D:8B:33
3598394,1,340,-71,3C:46:A1:6D:8B:F2
3598394,1,356,-71,3C:46:A1:6D:8B:F3
3598394,1,364,-71,3C:46:A1:6D:8B:F4
3598414,1,340,-72,3C:46:A1:6D:9B:B2
3598414,1,364,-73,3C:46:A1:6D:9B:B4
3598444,1,356,-79,3C:46:A1:6D:93:93
3598474,1,119,-77,08:65:F0:DA:4D:63
3598494,1,356,-79,3C:46:A1:6D:8B:33
3598494,1,340,-72,3C:46:A1:6D:8B:F2
3598494,1,356,-72,3C:46:A1:6D:8B:F3
3598494,1,364,-72,3C:46:A1:6D:8B:F4
3598514,1,340,-72,3C:46:A1:6D:9B:B2
3598514,1,356,-72,3C:46:A1:6D:9B:B3
3598514,1,364,-72,3C:46:A1:6D:9B:B4
3598544,1,356,-81,3C:46:A1:6D:96:A3
3598554,1,356,-80,3C:46:A1:6D:93:93
3598594,1,356,-80,3C:46:A1:6D:8B:33
3598594,1,340,-71,3C:46:A1:6D:8B:F2
3598594,1,356,-72,3C:46:A1:6D:8B:F3
3598594,1,364,-72,3C:46:A1:6D:8B:F4
3598614,1,340,-72,3C:46:A1:6D:9B:B2
